SubscriptionId, Timestamp, LogLevel, Tag
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, B_BASKET_1]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, P_PRODUCTS_SCAN]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, B_BASKET_1]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, A_PRODUCTS]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, A_THEME]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, B_BASKET_1]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, P_STOCK_AVEDIT]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, B_BASKET_6]
0d733139-801e-4d4b-b718-27c86b21837e, , [0, B_BASKET_1]
0d733139-801e-4d4b-b718-27c86b21837e, , [0, A_REPORTS]
0d733139-801e-4d4b-b718-27c86b21837e, , [0, S_MY_ACCOUNT]
0d733139-801e-4d4b-b718-27c86b21837e, , [0, S_PRODUCTS_ADD]
89b54961-96a6-4ad5-8686-bf1017a12c96, , [0, A_PRODUCTS]
89b54961-96a6-4ad5-8686-bf1017a12c96, , [0, S_PRODUCTS_ADD]
89b54961-96a6-4ad5-8686-bf1017a12c96, , [0, D_PRODUCT_SAVE]
89b54961-96a6-4ad5-8686-bf1017a12c96, , [0, A_PRODUCTS]
89b54961-96a6-4ad5-8686-bf1017a12c96, , [0, N_CPLAN_NEXT]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, H_EXPIRY_EDIT]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, A_PRODUCTS]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, P_STOCK_ADD]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, A_ANGADI]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, B_BASKET_1]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, P_STOCK_ADD]
